i,problem_size,np,N,number_of_iterations,time
1,100,1,100,100,5.183305978775024
1,200,1,200,100,20.80660080909729
1,500,1,500,100,126.72259044647217
1,100,4,50,100,1.4216415882110596
1,200,4,100,100,5.565582513809204
1,500,4,250,100,34.11629033088684
1,100,9,33,100,0.6596240997314453
1,200,9,66,100,2.6347544193267822
1,500,9,166,100,15.156040668487549
1,100,16,25,100,0.5365486145019531
1,200,16,50,100,2.020504951477051
1,500,16,125,100,12.665711641311646
1,100,25,20,100,1.2436044216156006
1,200,25,40,100,2.638934373855591
1,500,25,100,100,15.59083342552185
1,100,36,16,100,0.3128631114959717
1,200,36,33,100,1.0068717002868652
1,500,36,83,100,6.008280515670776
2,100,1,100,100,4.836089134216309
2,200,1,200,100,19.93538999557495
2,500,1,500,100,122.00298476219177
2,100,4,50,100,1.440009355545044
2,200,4,100,100,5.023149728775024
2,500,4,250,100,33.40687417984009
2,100,9,33,100,0.6704652309417725
2,200,9,66,100,2.5080997943878174
2,500,9,166,100,15.548435688018799
2,100,16,25,100,0.55422043800354
2,200,16,50,100,2.0460925102233887
2,500,16,125,100,11.83143949508667
2,100,25,20,100,1.2831816673278809
2,200,25,40,100,2.7261135578155518
2,500,25,100,100,15.760459184646606
2,100,36,16,100,0.2969036102294922
2,200,36,33,100,1.007671594619751
2,500,36,83,100,6.279068946838379
3,100,1,100,100,5.571264982223511
3,200,1,200,100,19.14862060546875
3,500,1,500,100,124.72778940200806
3,100,4,50,100,1.3751635551452637
3,200,4,100,100,5.652920961380005
3,500,4,250,100,34.59580087661743
3,100,9,33,100,0.6570000648498535
3,200,9,66,100,2.551486015319824
3,500,9,166,100,15.605352640151978
3,100,16,25,100,0.5809962749481201
3,200,16,50,100,2.091226100921631
3,500,16,125,100,12.64307951927185
3,100,25,20,100,0.9520213603973389
3,200,25,40,100,2.551626205444336
3,500,25,100,100,15.573337316513062
3,100,36,16,100,0.2828483581542969
3,200,36,33,100,1.006629228591919
3,500,36,83,100,5.938584327697754
4,100,1,100,100,5.27265191078186
4,200,1,200,100,18.70516014099121
4,500,1,500,100,128.5196783542633
4,100,4,50,100,1.4078106880187988
4,200,4,100,100,4.9571373462677
4,500,4,250,100,34.26289701461792
4,100,9,33,100,0.6330459117889404
4,200,9,66,100,2.5459232330322266
4,500,9,166,100,14.856679439544678
4,100,16,25,100,0.5313224792480469
4,200,16,50,100,2.000028133392334
4,500,16,125,100,12.173375844955444
4,100,25,20,100,1.0720186233520508
4,200,25,40,100,2.5734503269195557
4,500,25,100,100,15.802002191543579
4,100,36,16,100,0.3058803081512451
4,200,36,33,100,1.0647592544555664
4,500,36,83,100,5.9878644943237305
5,100,1,100,100,5.245556592941284
5,200,1,200,100,18.92120051383972
5,500,1,500,100,127.40539050102234
5,100,4,50,100,1.4102046489715576
5,200,4,100,100,5.650053977966309
5,500,4,250,100,32.07040858268738
5,100,9,33,100,0.6480662822723389
5,200,9,66,100,2.4428141117095947
5,500,9,166,100,15.696408987045288
5,100,16,25,100,0.5413515567779541
5,200,16,50,100,2.0844852924346924
5,500,16,125,100,11.983948469161987
5,100,25,20,100,1.091836929321289
5,200,25,40,100,2.7608516216278076
5,500,25,100,100,15.194563865661621
5,100,36,16,100,0.29749464988708496
5,200,36,33,100,1.06718111038208
5,500,36,83,100,6.193003177642822
