i,problem_size,np,N,number_of_iterations,time
1,50,36,8,50,0.057440757751464844
1,200,36,33,50,0.520684003829956
1,1000,36,166,50,12.354880571365356
1,50,25,10,50,0.06897497177124023
1,200,25,40,50,0.7499866485595703
1,1000,25,200,50,17.527087926864624
1,50,16,12,50,0.08855342864990234
1,200,16,50,50,1.0831778049468994
1,1000,16,250,50,22.775251388549805
1,50,9,16,50,0.11149454116821289
1,200,9,66,50,1.2469747066497803
1,1000,9,333,50,36.903467416763306
1,50,4,25,50,0.1810910701751709
1,200,4,100,50,3.23529052734375
1,1000,4,500,50,76.22838234901428
1,50,1,50,50,0.7829434871673584
1,200,1,200,50,12.00156545639038
1,1000,1,1000,50,280.0501024723053
2,50,36,8,50,0.13992810249328613
2,200,36,33,50,0.8230304718017578
2,1000,36,166,50,19.13425612449646
2,50,25,10,50,0.08260679244995117
2,200,25,40,50,0.7528135776519775
2,1000,25,200,50,17.346076726913452
2,50,16,12,50,0.07459735870361328
2,200,16,50,50,0.9928610324859619
2,1000,16,250,50,22.1980938911438
2,50,9,16,50,0.12828969955444336
2,200,9,66,50,1.4887971878051758
2,1000,9,333,50,35.436665773391724
2,50,4,25,50,0.24942970275878906
2,200,4,100,50,2.8853349685668945
2,1000,4,500,50,74.92891812324524
2,50,1,50,50,0.698328971862793
2,200,1,200,50,10.761118173599243
2,1000,1,1000,50,280.0055282115936
3,50,36,8,50,0.0670931339263916
3,200,36,33,50,0.5160703659057617
3,1000,36,166,50,13.413798570632935
3,50,25,10,50,0.06685209274291992
3,200,25,40,50,0.742264986038208
3,1000,25,200,50,17.883606672286987
3,50,16,12,50,0.0661923885345459
3,200,16,50,50,0.969963550567627
3,1000,16,250,50,22.735242128372192
3,50,9,16,50,0.10775303840637207
3,200,9,66,50,1.5829157829284668
3,1000,9,333,50,35.25881505012512
3,50,4,25,50,0.2642054557800293
3,200,4,100,50,3.2551398277282715
3,1000,4,500,50,73.8933322429657
3,50,1,50,50,0.7045207023620605
3,200,1,200,50,10.997078895568848
3,1000,1,1000,50,291.86279487609863
