k,rank,time
784,2,0.010662443935871124
790,2,0.010635255835950375
797,2,0.007437257096171379
803,2,0.007057626731693745
808,2,0.008362394757568836
815,2,0.008675025776028633
821,2,0.007116337306797504
827,2,0.0070536015555262566
834,2,0.006210189312696457
841,2,0.005808362737298012
846,2,0.005756588652729988
853,2,0.005730978213250637
858,2,0.00566386803984642
864,2,0.005606834776699543
870,2,0.0055138785392045975
876,2,0.005453536286950111
882,2,0.005512167699635029
888,2,0.0053602224215865135
894,2,0.005320196971297264
900,2,0.005324800498783588
906,2,0.005240613594651222
913,2,0.0052022263407707214
919,2,0.005179913714528084
925,2,0.0051520029082894325
932,2,0.005130616016685963
938,2,0.00569288432598114
943,2,0.005044649355113506
950,2,0.00508519634604454
957,2,0.005030544474720955
3,3,0.004938479512929916
54,3,0.005620406940579414
60,3,0.005229002796113491
66,3,0.005217481404542923
72,3,0.005191029980778694
78,3,0.0052653467282652855
84,3,0.0052779559046030045
90,3,0.005187269300222397
96,3,0.005370154045522213
102,3,0.005448018200695515
108,3,0.005495801568031311
114,3,0.005457650870084763
120,3,0.005658682435750961
127,3,0.0053481729701161385
133,3,0.006937149912118912
139,3,0.00698412861675024
143,3,0.00741539616137743
147,3,0.008145141415297985
153,3,0.007452637888491154
161,3,0.007475768215954304
167,3,0.008958429098129272
173,3,0.01041878666728735
177,3,0.010123816318809986
184,3,0.01247579324990511
190,3,0.01443826500326395
196,3,0.01545281708240509
202,3,0.01653064228594303
208,3,0.01806395687162876
214,3,0.018370017409324646
221,3,0.01940834801644087
227,3,0.019228742457926273
233,3,0.021276172250509262
239,3,0.020177599042654037
244,3,0.020068678073585033
251,3,0.02371624018996954
257,3,0.024580121971666813
263,3,0.025929131545126438
269,3,0.02684599906206131
275,3,0.026952584274113178
280,3,0.029991080053150654
287,3,0.02821943908929825
292,3,0.029921057634055614
298,3,0.02909562550485134
303,3,0.028615165501832962
309,3,0.03238480072468519
316,3,0.03355490509420633
322,3,0.0326500553637743
328,3,0.03254604712128639
334,3,0.03129413351416588
341,3,0.029507852159440517
347,3,0.029372021555900574
353,3,0.030436689034104347
359,3,0.02742067165672779
366,3,0.029513618908822536
372,3,0.029456263408064842
378,3,0.02819856069982052
383,3,0.026425243355333805
389,3,0.025920928455889225
396,3,0.024668524973094463
402,3,0.026010533794760704
407,3,0.023993615992367268
412,3,0.023293526843190193
419,3,0.02393375150859356
425,3,0.023605763912200928
431,3,0.021298998035490513
438,3,0.017650854773819447
443,3,0.017277788370847702
447,3,0.018249825574457645
454,3,0.015832513570785522
460,3,0.013170316815376282
468,3,0.01241052895784378
471,3,0.012459889985620975
479,3,0.011728571727871895
484,3,0.01256411150097847
491,3,0.012556090019643307
497,3,0.011841191910207272
502,3,0.012896698899567127
508,3,0.01624599564820528
514,3,0.01778595894575119
520,3,0.018140755593776703
527,3,0.02036920003592968
533,3,0.022782057523727417
538,3,0.02355420682579279
543,3,0.02332114428281784
550,3,0.022456802427768707
556,3,0.02541433833539486
562,3,0.025563590228557587
568,3,0.024790453724563122
575,3,0.026921666227281094
581,3,0.02859159465879202
587,3,0.0306781604886055
593,3,0.029629981145262718
599,3,0.028800422325730324
605,3,0.027316604740917683
