k,rank,time
3,3,0.004149455577135086
7,3,0.004149098880589008
8,3,0.004109320230782032
9,3,0.004111438058316708
10,3,0.004091926850378513
11,3,0.004158603027462959
12,3,0.004101328551769257
13,3,0.004106275737285614
14,3,0.004099974408745766
16,3,0.0041144900023937225
18,3,0.00410581286996603
20,3,0.004169080406427383
22,3,0.004255999810993671
24,3,0.004206487908959389
26,3,0.004104208201169968
28,3,0.0040963636711239815
30,3,0.0041554588824510574
34,3,0.004153351299464703
39,3,0.004187627695500851
45,3,0.004399111494421959
52,3,0.004253103397786617
58,3,0.004471171647310257
63,3,0.004352137446403503
69,3,0.004580811597406864
72,3,0.004456756636500359
79,3,0.004603859968483448
84,3,0.004724455997347832
90,3,0.0045486632734537125
96,3,0.0046683745458722115
102,3,0.004834184423089027
106,3,0.004603400826454163
112,3,0.005210628733038902
118,3,0.004953980445861816
125,3,0.004874758422374725
132,3,0.006022772751748562
137,3,0.005668008700013161
141,3,0.005920149385929108
148,3,0.006780889816582203
154,3,0.006335096433758736
160,3,0.006483552046120167
165,3,0.006101439706981182
170,3,0.008660294115543365
175,3,0.009004157036542892
182,3,0.00982293114066124
188,3,0.011516164988279343
193,3,0.01244308054447174
198,3,0.012790244072675705
204,3,0.014662455767393112
210,3,0.014429638162255287
216,3,0.016212102957069874
222,3,0.017121884040534496
228,3,0.01536449883133173
233,3,0.01776209007948637
240,3,0.01731432043015957
245,3,0.017229115590453148
248,3,0.017733206041157246
255,3,0.02082980051636696
261,3,0.021545056253671646
266,3,0.022535892203450203
273,3,0.022553199902176857
277,3,0.023283375427126884
284,3,0.024599445052444935
289,3,0.023159164004027843
295,3,0.025905930437147617
299,3,0.02371091488748789
304,3,0.02410625759512186
311,3,0.02686429489403963
317,3,0.027070962823927402
321,3,0.02742853481322527
327,3,0.02628596406430006
333,3,0.025465100072324276
340,3,0.023862089961767197
344,3,0.02603190764784813
349,3,0.023918813094496727
355,3,0.02243464905768633
360,3,0.02365337312221527
366,3,0.02448134683072567
371,3,0.025036446750164032
377,3,0.02421762701123953
383,3,0.022413872182369232
389,3,0.0211658189073205
394,3,0.020205399952828884
399,3,0.020386166870594025
404,3,0.021137261763215065
410,3,0.019139518029987812
415,3,0.018374882638454437
420,3,0.019433222711086273
427,3,0.018623553216457367
433,3,0.016833797097206116
437,3,0.014133491553366184
442,3,0.014088320545852184
448,3,0.014409651048481464
452,3,0.013379291631281376
458,3,0.010478108190000057
464,3,0.009251191280782223
470,3,0.009713703766465187
475,3,0.009977348148822784
481,3,0.009729898534715176
487,3,0.009030752815306187
492,3,0.009896938689053059
496,3,0.009266829118132591
502,3,0.010609547607600689
508,3,0.013085059821605682
513,3,0.015045861713588238
519,3,0.014423275366425514
524,3,0.014804216101765633
531,3,0.018604679964482784
537,3,0.019582083448767662
543,3,0.019456001929938793
547,3,0.019281720742583275
553,3,0.0188001599162817
559,3,0.020544573664665222
564,3,0.020132378675043583
569,3,0.020012973807752132
575,3,0.02216462232172489
580,3,0.023169495165348053
587,3,0.024937020614743233
590,3,0.024372938089072704
595,3,0.02480424288660288
602,3,0.02179901022464037
609,3,0.023976502008736134
612,3,0.023026087321341038
618,3,0.024068300612270832
624,3,0.02466590143740177
631,3,0.025295620784163475
634,3,0.025293991900980473
640,3,0.02651584055274725
646,3,0.027028465643525124
650,3,0.02626979723572731
657,3,0.02283415663987398
661,3,0.022791354916989803
667,3,0.02414963860064745
671,3,0.023734373040497303
676,3,0.023816744796931744
683,3,0.022988559678196907
687,3,0.022427579388022423
693,3,0.022908019833266735
699,3,0.02218802645802498
706,3,0.01983833499252796
708,3,0.018682587891817093
714,3,0.017802821472287178
721,3,0.01689063385128975
726,3,0.018239551223814487
731,3,0.01619126833975315
